transtorno_bipolar_tipo_1,humor,oscilacao entre mania e depressao com prejuizo grave,euforia; grandiosidade; menos sono; logorreia; irritabilidade,cronico recorrente,transtorno esquizoafetivo; tdah; uso de estimulantes,psicoeducacao; tcc para bipolaridade; monitoramento de ritmo,estabilizadores; litio; antipsicoticos,ymrs; madrs,mania e emergencia medica e exige intervencao imediata
transtorno_bipolar_tipo_2,humor,episodios hipomaniacos e depressao maior,energia alta sem psicose; depressao profunda; labilidade,cronico recorrente,depressao unipolar; borderline; ciclotimia,psicoeducacao; tcc focado em humor; act,estabilizadores; anticonvulsivantes,madrs; ymrs,frequentemente subdiagnosticado como depressao unipolar
transtorno_bipolar_tipo_2,humor,hipomania; episodios depressivos recorrentes,irritabilidade; impulsividade; labilidade afetiva,episodico recorrente,transtorno depressivo maior; transtorno borderline; ciclotimia,psicoeducacao; tcc; terapia do ritmo social; terapia familiar,litio; lamotrigina; quetiapina,mdq; hcl32,muito subdiagnosticado em pacientes que chegam por depressao
transtorno_de_acumulacao,toc_relacionados,dificuldade persistente de descartar objetos,desorganizacao; prejuizo funcional; apego excessivo,cronico,toc; demencia; depressao,tcc adaptada; intervencoes motivacionais,farmacoterapia sem papel claro,saving inventory revised,baixa insight e baixa adesao sao comuns
transtorno_de_ansiedade_de_doenca,somaticos,preocupacao persistente em ter doenca grave,checagem corporal; busca de exames ou evitacao,cronico,toc; transtorno delirante somatico,tcc; act,isrs em comorbidade ansiosa,whiteley index,importante reduzir reassurance repetitiva
transtorno_de_ansiedade_generalizada,ansiedade,preocupacao excessiva; dificil controle da preocupacao,tensao muscular; fadiga; irritabilidade; insonia; inquietacao,cronico flutuante,hipertireoidismo; uso de estimulantes; toc; depressao,tcc; act; terapia metacognitiva; mindfulness baseado em evidencia,isrs; irsn; buspirona,gad7; bai,sintoma nuclear e preocupacao persistente com multiplos dominios
transtorno_de_ansiedade_social,ansiedade,medo intenso de avaliacao negativa,evitacao social; rubor; tremor; antecipacao ansiosa,cronico com inicio precoce,timidez; autismo; transtorno de personalidade evitativa,tcc com exposicao; treino de habilidades sociais; act; psicoterapia psicodinamica focal,isrs; irsn,lsas; spinq,avaliar prejuizo funcional academico ocupacional e relacional
transtorno_de_compulsao_alimentar,alimentares,episodios de compulsao sem compensacao regular,culpa; comer escondido; desconforto fisico,cronico,bulimia; obesidade sem compulsao,tcc; terapia interpessoal; act,lisdexanfetamina em alguns casos; isrs selecionados,binge eating scale,frequente comorbidade com depressao e trauma
transtorno_de_despersonalizacao_desrealizacao,dissociativos,sensacao persistente de estranheza de si ou do ambiente,ansiedade; embotamento; hipervigilancia,cronico flutuante,panico; uso de cannabis; epilepsia,tcc; grounding; abordagens focadas em ansiedade e trauma,farmacos sem indicacao especifica consolidada,cambridge depersonalization scale,psicoeducacao reduz medo de enlouquecer
transtorno_de_estresse_agudo,trauma,sintomas de trauma nas semanas iniciais,dissociacao; reviviscencia; evitacao; hiperativacao,agudo,ptsd; resposta normal ao trauma,psicoeducacao; intervencao precoce focada em trauma quando indicado,farmacoterapia apenas sintomatica em casos selecionados,acute stress disorder scale,nem todo quadro agudo evolui para ptsd
transtorno_de_estresse_pos_traumatico,trauma,reviviscencia; evitacao; hipervigilancia,pesadelos; culpa; entorpecimento; irritabilidade,cronico variavel,transtorno agudo de estresse; toc; depressao; trauma complexo,tcc focada em trauma; emdr; exposicao prolongada; terapia cognitiva para trauma,isrs; prazosina em casos selecionados,pcl5; caps5,avaliar dissociacao risco suicida e uso de substancias
transtorno_de_panico,ansiedade,ataques de panico inesperados e recorrentes,palpitacoes; medo de morrer; falta de ar; sudorese,episodico com ansiedade antecipatoria,condicao cardiaca; fobia social; tept,tcc com exposicao interoceptiva; psicoeducacao,isrs; benzodiazepínicos em crise,bai; pass,evitar uso cronico de benzodiazepínicos
transtorno_de_personalidade_antissocial,personalidade,desrespeito persistente por normas e direitos alheios,impulsividade; agressividade; manipulacao; baixa culpa,cronico,uso de substancias; tdah; mania,intervencoes estruturadas focadas em risco e comportamento; terapia motivacional,farmacos apenas para comorbidades ou agressividade selecionada,pcl-r em contexto forense,avaliar risco para terceiros e uso de substancias
transtorno_de_personalidade_borderline,personalidade,instabilidade afetiva; medo de abandono; impulsividade,autolesao; vazio cronico; raiva intensa; dissociacao transitoria,cronico com melhora funcional possivel,bipolaridade; ptsd complexo; tdah; transtorno por uso de substancias,dbt; terapia do esquema; mentalization based therapy; terapia focada na transferencia,farmacos apenas para sintomas alvo e comorbidades,msi-bpd; bsl-23,evitar polifarmacia e priorizar psicoterapia estruturada
transtorno_de_personalidade_evitativa,personalidade,inibicao social; sentimento de inadequacao; hipersensibilidade a critica,evitacao relacional; ansiedade social intensa,cronico,ansiedade social; autismo,tcc; terapia do esquema; psicoterapia psicodinamica focal,isrs em comorbidade ansiosa,lsas; instrumentos de personalidade,sobrepoe bastante com ansiedade social
transtorno_de_personalidade_narcisista,personalidade,grandiosidade; necessidade de admiracao; baixa tolerancia a critica,vergonha; raiva; oscilacao entre superioridade e fragilidade,cronico,bipolaridade; personalidade antissocial; histrionica,psicoterapia psicodinamica; terapia do esquema; mentalization based approaches,sem farmacoterapia especifica,pni quando usado em pesquisa,atencao a rupturas de alianca e hipersensibilidade narcisica
transtorno_de_sintomas_somaticos,somaticos,foco excessivo em sintomas fisicos com sofrimento desproporcional,uso alto de servicos; ansiedade com saude,cronico,condicao medica real; transtorno de ansiedade de doenca,tcc; psicoterapia psicodinamica focal; manejo longitudinal,farmacos para comorbidades,phq15,validar sofrimento sem reforcar investigacao infinita
transtorno_delirante,psicoticos,delirio persistente relativamente sistematizado,desconfianca; litigiosidade; pouco prejuizo fora do tema delirante,cronico,toc pobre insight; paranoia induzida por substancia,abordagem terapeutica de baixa confrontacao; tcc para psicose quando viavel,antipsicoticos em alguns casos,bprs,alianca terapeutica costuma ser delicada
transtorno_depressivo_maior,humor,humor deprimido; anedonia; fadiga; desesperanca,alteracao de sono; alteracao de apetite; culpa; lentificacao; ideacao suicida,episodico com risco de recorrencia,luto; transtorno bipolar; hipotireoidismo; uso de substancias,tcc; terapia interpessoal; act; psicoterapia psicodinamica breve,isrs; irsn; bupropiona; mirtazapina,phq9; bdi,avaliar risco suicida; sintomas psicoticos e historia de hipomania antes de definir tratamento
transtorno_depressivo_persistente,humor,humor deprimido cronico; baixa energia; baixa autoestima,desesperanca; dificuldade de concentracao; alteracao de sono; anedonia parcial,cronico por anos,transtorno depressivo maior cronico; transtorno de personalidade; condicoes medicas,tcc; terapia do esquema; psicoterapia psicodinamica; act,isrs; irsn,phq9; bdi,frequente historia longa de funcionamento rebaixado e esquemas de desvalor
transtorno_dismorfico_corporal,toc_relacionados,preocupacao excessiva com defeito percebido,checagem; camuflagem; evitacao social,cronico,transtornos alimentares; delirio somatico,tcc; erp,isrs,bdd-ybocs,risco de busca repetida por procedimentos esteticos
transtorno_dissociativo_de_identidade,dissociativos,descontinuidade de identidade; amnesia dissociativa,despersonalizacao; trauma complexo; autolesao,cronico,ptsd complexo; borderline; psicose,psicoterapia faseada focada em estabilizacao e trauma,farmacos apenas para comorbidades,des; mid,evitar confrontacao prematura de memoria traumatica
transtorno_do_espectro_autista,neurodesenvolvimento,dificuldades na comunicacao social; padroes restritos e repetitivos,hipersensibilidade sensorial; rigidez; interesses restritos,cronico do neurodesenvolvimento,ansiedade social; personalidade esquizoide; toc,intervencoes psicoeducativas; treinamento de habilidades; tcc adaptada,farmacos apenas para sintomas associados,aq; raads-r; instrumentos diagnosticos formais,adaptar linguagem previsibilidade e demanda sensorial
transtorno_do_panico,ansiedade,ataques de panico recorrentes; medo de novos ataques,evitacao; hipervigilancia corporal; desrealizacao,episodico com evitacao crescente sem tratamento,arritmias; asma; hipertireoidismo; uso de cafeina ou estimulantes,tcc com exposicao interoceptiva; act,isrs; irsn; benzodiazepinicos em uso seletivo,pdss; bai,explicar ciclo panico medo evitacao costuma melhorar adesao
transtorno_esquizoafetivo,psicoticos,sintomas psicoticos com episodios de humor relevantes,depressao; mania; prejuizo funcional,cronico,bipolar com psicose; esquizofrenia,psicoeducacao; tcc; terapia familiar,antipsicoticos; estabilizadores; antidepressivos conforme quadro,panss; ymrs; madrs,diferenciar temporalmente sintomas psicoticos e do humor
transtorno_obsessivo_compulsivo,toc_relacionados,obsessoes; compulsoes; evitacao,lentificacao; culpa; duvida patologica; necessidade de certeza,cronico,transtorno de personalidade obsessivo compulsiva; psicose; tea,tcc com exposicao e prevencao de resposta; act,isrs em doses altas; clomipramina,ybocs; oci-r,diferenciar pensamento intrusivo egodistonico de delirio
transtorno_por_uso_de_alcool,substancias,perda de controle; craving; tolerancia; abstinencia,prejuizo ocupacional; recaidas; comorbidades,cronico recorrente,uso social sem transtorno; bipolaridade; ansiedade,terapia motivacional; tcc; prevencao de recaida; grupos,naltrexona; acamprosato; dissulfiram em casos selecionados,audit; ciwa-ar,avaliar risco de abstinencia complicada
transtorno_por_uso_de_estimulantes,substancias,uso compulsivo; craving; binge; queda funcional,paranoia; insonia; depressao pos uso,cronico recorrente,tdah; bipolaridade; psicose primaria,tcc; manejo de contingencias; reducao de danos,sem farmaco padrao bem estabelecido,dast,monitorar risco cardiovascular e psicose induzida
transtorno_por_uso_de_opioides,substancias,craving; tolerancia; abstinencia; uso compulsivo,sobredose; uso de risco; prejuizo funcional,cronico recorrente,dor cronica com uso terapeutico; uso de multiplas substancias,entrevista motivacional; reducao de danos; terapia de recaida,buprenorfina; metadona; naltrexona,dast; cows,alto risco de overdose e necessidade de plano de seguranca
tricotilomania,toc_relacionados,arrancar cabelos repetidamente,tensao previa; alivio posterior; vergonha,cronico flutuante,toc; autolesao; dermatillomania,tcc com reversao de habito; act,n-acetilcisteina em alguns casos,mgh hairpulling scale,monitorar gatilhos emocionais e automatismos
